emotion,pitch,tempo,formant,intensity,filename
neutral,1.12,0.99,"[1.0, 1.0, 1.0]",0.009999999776482582,001.json
neutral,1.49,0.99,"[1.0, 1.0, 1.0]",0.019999999552965164,002.json
neutral,1.44,0.96,"[1.0, 1.0, 1.0]",0.009999999776482582,003.json
neutral,1.44,0.72,"[1.0, 1.0, 1.0]",0.009999999776482582,004.json
neutral,1.8,0.83,"[1.0, 1.0, 1.0]",0.019999999552965164,005.json
neutral,4.01,0.0,"[1.0, 1.0, 1.0]",,006.json
neutral,1.49,1.44,"[1.0, 1.0, 1.0]",0.009999999776482582,007.json
neutral,1.39,1.61,"[1.0, 1.0, 1.0]",0.019999999552965164,008.json
neutral,1.61,1.17,"[1.0, 1.0, 1.0]",0.019999999552965164,009.json
neutral,1.46,0.83,"[1.0, 1.0, 1.0]",0.019999999552965164,010.json
neutral,1.39,1.52,"[1.0, 1.0, 1.0]",0.009999999776482582,011.json
neutral,1.36,0.86,"[1.0, 1.0, 1.0]",0.009999999776482582,012.json
neutral,1.68,1.85,"[1.0, 1.0, 1.0]",0.019999999552965164,013.json
neutral,1.56,1.44,"[1.0, 1.0, 1.0]",0.009999999776482582,014.json
neutral,1.38,0.89,"[1.0, 1.0, 1.0]",0.029999999329447746,015.json
neutral,1.57,0.99,"[1.0, 1.0, 1.0]",0.019999999552965164,016.json
neutral,1.44,1.52,"[1.0, 1.0, 1.0]",0.019999999552965164,017.json
neutral,1.35,1.03,"[1.0, 1.0, 1.0]",0.019999999552965164,018.json
neutral,1.53,1.23,"[1.0, 1.0, 1.0]",0.009999999776482582,019.json
neutral,1.28,0.92,"[1.0, 1.0, 1.0]",0.009999999776482582,020.json
neutral,1.48,0.92,"[1.0, 1.0, 1.0]",0.029999999329447746,021.json
neutral,4.01,0.0,"[1.0, 1.0, 1.0]",,022.json
neutral,1.12,1.44,"[1.0, 1.0, 1.0]",0.009999999776482582,023.json
neutral,4.01,0.0,"[1.0, 1.0, 1.0]",,024.json
neutral,4.01,0.0,"[1.0, 1.0, 1.0]",,025.json
neutral,4.01,0.0,"[1.0, 1.0, 1.0]",,026.json
neutral,1.76,0.92,"[1.0, 1.0, 1.0]",0.009999999776482582,027.json
neutral,1.69,1.03,"[1.0, 1.0, 1.0]",0.009999999776482582,028.json
neutral,1.46,1.36,"[1.0, 1.0, 1.0]",0.019999999552965164,029.json
neutral,1.27,1.36,"[1.0, 1.0, 1.0]",0.019999999552965164,030.json
